,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35,Topic36,Topic37,Topic38,Topic39,Topic40,Topic41,Topic42,Topic43,Topic44,Topic45,Topic46,Topic47,Topic48,Topic49,Topic50,Topic51,Topic52,Topic53,Topic54,Topic55,Topic56,Topic57,Topic58,Topic59,Topic60,Topic61,Topic62,Topic63,Topic64,Topic65,Topic66,Topic67,Topic68,Topic69,Topic70,Topic71,Topic72,Topic73,Topic74,Topic75,Topic76,Topic77,Topic78,Topic79,Topic80,Topic81,Topic82,Topic83,Topic84,Topic85,Topic86,Topic87,Topic88,Topic89,Topic90,Topic91,Topic92,Topic93,Topic94,Topic95,Topic96,Topic97,Topic98,Topic99,Topic100
10,주차장,응시,외래,돌보,무리,마을,소재,실내,덕분,혈관,충격,보호사,회관,물건,네티즌,손님,양수,주민,헤어,인근,실화,의자,교환,한복,작업,택배,원인,보관,처치,평가,샴푸,서로,움직이,시대,투여,실종,조직,제일,청결,시도,스트레스,현대,전용,개봉,들어서,호기심,짜증,다정,in,베개,신세,재고,고무줄,효과,중심,비치,질병,그러,호스피스,포장,결심,노력,생기,곳곳,치유,데이트,충격,sns,야쿠자,지퍼,던지,자국,보통,입음,생활,우울,실내,육아,채택,영화제,경찰복,목숨,피해자,감정,제품,구조,간호사,대학,예시,마사지,신체,조심,세수,서류,월요일,제출,창가,이전,공포,키스
11,바지,최소,기간,구경,적시,가족,그때,인력,탈장,부모,분노,광고,열창,사업,cm,오르,운영,마을,데스크,동료,남기,종합,소개,지적,요구,이벤트,고열,겉옷,관장,구하,모유,tv,흡연,가량,전원,긴장감,나타나,원단,알아보,나서,메모,신나,온라인,초록,붙이,만약,체크,수면,창문,불편,순면,담낭,드레스,유지,암시,시스템,염증,충격,컨디션,옷장,팔목,상당,종류,비교,군인,마찬가지,기간,검정,소파,매장,인물,기적,이용,출혈,검사,건강,공간,필수,검사,용종,정장,모니터,프로그램,다이어트,무늬,산후조리원,근무복,건강,재단,동행,군복,시청,누나,patients,하늘색,장난,난리,리스트,무단이탈,안정
12,속옷,조건,갈아입,문의,복귀,건강,걱정,웃기,마트,역사,셀카,리얼,공연장,실장,mri,지도,무단,채널,버리,열차,종양,생활,색상,천연,착용,드리,현지,맞추,편의,로맨스,가방,극본,가리,결핵,본관,내과,심전,평상복,안경,코스튬,휴식,일부,회원,비주얼,브래지어,세월,기간,위내시경,주요,베드,교육,생존,처방,폐기,design,탄생,에피소드,분장,캠페인,원시,태그,바깥,초산,연세,소년,출입,들어오,둘러보,만화,하얀색,공주,모드,특성,힐링,건강,환복,장난감,꺼내,갈아입,응원,study,주심,도중,항생제,상품,화재,사회,대학교,진입,신청,복장,고객,누우,계약,적용,포착,줄무늬,고려,최대한,캐릭터
13,기저귀,기구,마치,조끼,어깨,차림,건강,쓰레기,수속,형태,게재,매트,자선,프로,라이프,상품,중학교,구급차,교육,반찬,굴욕,활보,케어,교복,차림,전국,연상,신문,자연,일보,소아과,사태,피우,화제,공식,대박,전망,검사,출입,원단,통합,건강,환영,난소,말씀,아데노이드,반대,일요일,에어컨,법정,기간,성인,바지,색깔,집중,사태,할인,만들,사고,전기,문구,아복,시대,옆구리,케어,검사,종합,미안,단체복,찜질,with,알콜,가요,유니폼,예고,교통,핸드폰,표현,기본,근황,동의,정맥,기계,사실,발생,대부분,시트,나중,구간,커플,기간,실수,임신,사업,중년,강탈,오픈,흔적,유리,tvn
14,원피스,초등,문제,회진,구치소,조직,착용,오열,학생,걸음,제모,이때,기적,청소년,연예,코스튬,금액,거즈,고용,커피,소름,차림,얘기,도로,기존,간호사,is,사태,내진,링크,장비,초면,버스,진실,분만실,집중,하반신,갈아입,푸드,문의,아줌마,모자,장바구니,생활,갈아주,갈아입,혈압,건강,인근,갈아입,방사선,티비,사이즈,날짜,생활,인근,복부,사업,각자,물건,무단,감상,보호,비주얼,길이,진료,간호사,선택,매트리스,즐기,그리,추위,결핵,바지,의사,들어가,자복,유머,물질,삽입,전체,테이블,경제,간호사,디자인,소방,당일,출입,안심,kbs,가족,출처,성공,적용,끝내,각자,홍보,절개,규정,무늬
15,간병인,가족,간호사,환복,휠체어,발생,마시,항문,갈아입,내진,무통,나오,고백,주차장,변신,블로그,대사,거동,ct,차림,조기,입원실,드리,종합,기자,예정,발생,불편,적응,정보,다원,sbs,벤치,오줌,검사,건강,다녀오,종합,요리,부담,간병,여행,상품,어깨,질병,차림,상황,들어가,혼자,개인,벤치,조치,기다리,여벌,당황,배회,강아지,계약,착용,동위,입음,행사,부르,응원,예방,갈아입,바늘,sbs,허락,주인공,빛나,의견,다니,갈아입,부탁,방송,세상,산업,들어가,소식,이번,흘리,최종,걱정,가운,신생아,진료,통증,사전,집중,체육,옛날,갈아입,기능,렌즈,빛나,복귀,사망,공지,위아래
16,교체,간호사,건강,몸무게,안경,문구,잠옷,외치,리스트,간호사,들어가,환복,생명,모시,궁금증,건강,기술,모시,업무,근황,신체,다니,보통,소재,종합,사이,차림,체육,시리즈,바라보,패드,나라,주의,공사,갈아입,제작,부모,시트,제한,섬유,불안,주말,쇼핑몰,사업,기저귀,설명,대학,갈아입,소재,차림,화장,자궁,배송,담요,보호,시설,구성,닥터,외출,시설,건강,고주파,세상,건강,지난해,부모,이동,걱정,복장,게시판,따르,온도,지하철,들어가,갈아입,이번,구경,장난감,이번,불참,발생,방문,인정,몸무게,자복,훈련,오른쪽,간호사,단체복,생일,나이,통화,간호사,생명,편리,비주얼,mbc,에어컨,게시,가정
17,하의,취소,고열,완성,탑승,이번,모르,박스,건강,갈아입,불편,요양,옆구리,건강,포착,naver,방문,양복,맞춤,회사,조직,휠체어,핑크,항암,마스크,블로그,간호사,폐암,환복,감상,본격,충격,생후,승객,속옷,연출,환복,소변,환복,적용,최고,주요,관련,간호사,엉덩이,문제,복장,나라,단추,디자인,운동,문진,교수,매트리스,변화,일부,본격,업체,일부,에어컨,포함,걸치,업체,ct,서비스,이번,눈물,차림,잠옷,축제,자랑,폭발,물리,치료,차림,요청,그러,옷차림,보관,지난달,슬리퍼,차림,논란,탄생,사복,들어가,조영제,종합,제작,tv,예정,소화,복장,서로,의류,차림,휠체어,물건,참사,공고
18,탈의,인증,내복,간호사,재판,추억,이번,연습,관계자,원피스,분만,기저귀,건강,갈아입,차림,상하,출입,요양,과정,들어가,사고,절제술,바지,건강,부족,접수,불편,생활,태동,간호사,내복,차림,이끌,교통,진행,간호사,검사,도착,방문,이용,근황,생활,배송,갈아입,위아래,바지,포함,하의,인증,규정,문제,내막,학교,기관,그러,지역,환복,위로,소동,위생,인대,기간,가족,갈아입,모니터링,외래,다니,바지,com,패스,간호사,고정,작성,속옷,거짓말,휠체어,들어가,교통,소변,신문,바지,장소,충격,바늘,통증,간호사,질환,학교,비용,놀라,원피스,공공,모유,제작,지식,당황,건강,대학,작성,본격
19,이탈,카메라,수건,갈아입,이동,작성,사고,뒷모습,질환,주사,절개,들어가,분홍색,차림,공연,세트,발생,생활,운영,게재,목소리,부족,파란색,일부,디자인,샴푸,한편,들어가,검사,의료진,기본,신청,허락,입실,불편,사이트,갈아입,화장실,갈아입,소재,라인,착용,검색,외치,착용,요양,얘기,검사,보험,시설,교정,접수,무료,입기,건강,세탁,이때,위기,신생아,갈아입,차림,주변,간호사,짜증,무단,내받,외부,오른쪽,마비,오픈,최근,patient,상품,챙기,보통,갈아입,기간,보조,진단,종합,사복,확인,의학,나오,선물,계속,무늬,증상,이번,가족,불편,취소,수유,수량,사회,머리,마스크,할로윈,화재,제한
20,가디건,학교,자연,일정,질환,인간,가요,분노,치료,설명,the,위생,보통,완전,생활,학교,불편,회진,실습,건강,제거,정기,신발,도움,바지,이용,사복,요즘,갈아입,덕분,검사,뉴스,도로,소동,가족,시트,당일,절개,자연,구입,식사,바늘,휠체어,간병,바지,줄거리,입력,불안,간호사,대표,간호사,갈아입,갈아입,해당,고백,혈액,상품,휠체어,종합,편안,불편,착용,간호복,기적,건강,치료,갈아입,모자,사실,한방,시선,먹이,이전,수면,들어가,결핵,머리,불편,속옷,검사,차림,식사,sns,선택,구경,차림,원인,알아보,서비스,색깔,급성,개선,마치,한방,만들,vs,방법,지나,시설,계약
21,케어,이후,눈물,방법,진료,간호사,sns,때리,도착,성공,입원실,갈아입,리얼,담당,물리,평소,이번,들어서,빨래,최고,간호사,응급실,간호사,기간,수사,의상,태그,평소,들어가,갈아입,입원실,진행,인근,탑승,진료,세탁물,하의,일상,만약,일부,기분,결혼,제품,신나,바라보,학교,금요일,제품,흘리,나오,나중,환복,세탁,벗기,바지,의학,가격,선물,불편,기본,내시경,휠체어,비밀,결국,사고,간호사,색깔,간호사,다리,제작,분노,미즈,지원,준비물,진료,승객,교수,이후,질환,대학,갈아입히,이번,눈빛,들어가,학교,다리,의사,바지,건강,오빠,이번,주차장,탄생,이동,sbs,마스크,조금,소름,이탈,방법
22,다니,급여,모르,도착,건강,원인,제작,충격,부위,가족,궁금증,속옷,부모,모르,방법,디자인,부부,배회,간호사,기자,아래,참고,슬리퍼,외치,드리,당일,sns,그러,산부인과,희망,건강,이동,지인,변신,예약,검사,간호사,재고,나오,바지,시트,모르,사회,외출,들어오,포착,나오,부위,제거,신청,휠체어,간호사,주위,정리,한편,고정,검사,접수,안전,수면,유아,생활,분만,체육,손가락,의사,혼자,집중,등장,소재,쓰레기,우울,삭제,지역,가족,탑승,시설,역할,엑스레이,세상,포즈,결국,생활,부탁,갈아입,보통,부탁,나오,제품,고개,패드,검사,나오,침구류,원단,검사,가운,갈아입,만드,종합
23,가방,절개,희망,그때,해당,수사,일상,가방,방법,도착,심장,기다리,그러,편안,방송,이용,들어가,식사,갈아입,스틸,세상,걱정,일요일,자유,관련,선물,갈아입,이번,투여,이동,생활,역할,구조,하차,데리,체육,완전,cm,금요일,사이즈,진료,도움,고령,부탁,차림,학생,수건,부탁,치마,파란색,참고,확인,수량,요양,헤어,건강,각자,기분,대부분,대학교,전용,나가,고백,등장,의식,건강,입원실,나오,대형,이불,수속,영하,연락,들어오,상의,사이트,갈아입,환복,그때,그램,본인,임신,방송,입원실,의사,무릎,요양원,금지,운영,실내,산모,간호사,도착,개선,그때,슬리퍼,금식,폐렴,방지,렌즈
24,대신,걱정,신경,만들,부위,의지,제품,응급실,그러,동의서,구성,나중,연출,나무,무릎,자연,증거,부탁,칼럼,도착,반응,금식,걸리,이동,무단,방송,검사,작성,소변,방문,기간,바라보,외부,열차,소변,대신,주사,금식,용기,tvn,요양,금요일,어르신,지하,그때,불법,지인,국가,그러,반팔,바늘,검사,여행,시설,이후,식사,금액,손목,임신,환복,골절,생일,이후,대학,병상,설명,확인,인대,발생,상품,부탁,미니,담당,근처,식사,하차,분장,부탁,방법,시술,착용,증상,차림,응급실,치료,바지,도움,환복,유니폼,갈아입,출연,갈아입,긴장,다니,원복,착용,카메라,일상,카메라,초면
25,가격,치료,결국,식사,치료,허벅지,식사,입히,소아,아래,사연,가족,한편,탈의,활동,제목,문제,의사,복지,이후,허벅지,불편,샤워,학교,뉴스,지하철,휠체어,색상,출혈,교복,기기,눈길,말씀,접수,의사,원장,진행,수면,착용,시트,방지,편도,수업,착용,그러,모르,오염,제작,건강,사이즈,예정,슬리퍼,혼자,줄무늬,최근,검사,절제,할로윈,도움,다원,연락,부탁,유니폼,머리,배회,혈관,의사,환복,부담,사이,엑스레이,지적,그러,산모,궁금증,고객,확인,맹장,불편,관련,참고,맹장,사고,주사,간호사,입원실,가운,혈압,이탈,운동,포함,반응,비용,광고,그러,셀카,개인,올해,생활,목발
26,휠체어,피부,준비물,의사,차림,음식,비용,보호,이불,수건,갈아입,대학,그리,눈길,치료,상세,대화,입히,학생,셀카,갈아입,그때,이후,치료,얼굴,결핵,소독,구경,분만실,시트,환복,누리,편의점,전원,일상,사실,치료,산부인과,간호사,업무,셀카,진료,혼자,일부,부위,고생,체온,날짜,식사,반바지,디자인,팔찌,건물,전체,공원,혈압,발생,허리,병상,건강,들어가,어깨,유도,샤워,동영상,이것저것,줄무늬,이동,기자,먹이,차림,편의,가입,착용,종합,즐기,나오,출석,응급실,갈아입,정리,언니,변호사,학교,추가,환복,상품,가족,예방,주심,검색,들어가,속옷,신경,수유,게재,행동,가방,토요일,제작
27,수면,창가,이번,신생아,생활,들어오,사이,방문,학교,다이어트,과정,교체,의사,궁금증,mbc,고급,교체,차림,특성,여행,sns,긴급,발생,기다리,the,시민,논란,나오,간호사,상황,역할,장소,주사,기자,위험,장면,부위,증상,기자,파티,주민,디자인,잠옷,링거,속옷,아동,바지,도착,시각,이불,제작,복용,물질,도착,시민,주민,ct,보험,바지,개인,직전,입구,갈아입,열창,의료진,기록,링거,마스크,역할,디자인,치료,당일,처리,mri,화장실,지하철,관심,차량,진료,디스크,어머님,미치,따르,제출,아복,사이,기다리,걱정,부착,신체,바지,요즘,검사,공장,보호,휠체어,걸치,한편,요양,방송
28,가족,학년,대표,냉장고,요즘,소아과,생활,이동,걱정,준비물,조금,tvn,기도,해당,올리,여유,수사,돌아다니,물티슈,불편,지방,눈물,생활,요양,컨셉,치마,의사,그때,mri,장애,외부,행복,마시,모르,출근,사고,문진,초음파,업체,가격,헤어,어울리,연출,진행,폭행,걱정,몸무게,어깨,목욕,간호사,캐릭터,최근,관련,일상,언니,차림,교수,가족,차림,검사,검사,색상,탄생,본인,요양,여행,feat,얼굴,뉴스,커버,한편,부탁,치료,가족,드리,치료,움직이,다니,사실,최근,의료진,현장,본격,잠옷,근처,인근,환경,선택,진복,머리,바라보,나오,아래,디자인,원피스,소아,여유,사고,이후,보호
29,평상복,기본,엉덩이,갑상선암,도착,기분,가지,유지,양말,기다리,스틸,지원,소개,의상,무료,이후,문구,기저귀,실장,올리,절개,링거,법정,슬리퍼,결정,제작,링거,부부,주사,방법,수건,착용,바늘,진료,대학,만들,옆구리,간호사,세탁,용품,보호자,아복,걱정,이것저것,혼자,예약,자체,떠나,완전,위험,자연,이번,나오,미니,간병인,이동,아가,단독,간호사,슬리퍼,택배,차림,추정,공원,고령,진행,옛날,생존,주인공,가져가,갈아입,눈물,고민,증상,얼마,친절,답변,기기,나이,신경,상황,당황,당일,라인,느낌,시스템,들어가,말씀,지방,할로윈,빨래,네티즌,옮기,구비,착용,시트,눈물,양말,당일,착용
30,미니,모르,경찰복,바지,그러,치료,커버,naver,베개,일상,팬티,출처,극본,강아지,그램,자식,역할,나오,절개,소식,그러,지하철,통증,편안,모자,뉴스,입히,동의서,확인,그러,닥터,장면,입원실,마트,폐렴,바지,세상,자복,진행,맞춤,회원,팔목,미모,기억,헤어,nan,수속,센터,주민,설명,개인,착용,전신,수술복,차림,진행,사이,공유,이번,tv,갈아입,쓰레기,처리,무대,상황,수면,약국,치료,경제,바꾸,체크,이후,만들,내시경,어쩌,체육,아동,휠체어,제일,일상,노출,임산부,휠체어,긴장,수건,아래,이번,사이즈,확인,허벅지,얼마,제작,팬티,케어,빛나,입술,보내,보통,대피,차림
31,자리,형태,관심,나오,지내,이용,요양,조리,왼쪽,양수,효과,예고,스트레스,분장,건강,비교,임신,기자,생기,증상,소변,기자,갈아입,부탁,패스,가운,일상,현장,기록,보호자,고민,평생,가족,진행,바지,이모,내시경,요양,장애,문제,환복,마스크,보호,복장,커버,대학,사복,소개,갈아입,기간,활동,질환,추가,계획,세상,마을,kg,언니,기기,답변,표현,실내,걱정,걱정,갈아입,가운,요양,눈물,재활,느낌,도착,착용,제목,nan,원장,단체,활동,정보,탈의,환복,화재,위기,세상,feat,예방,소식,갈아입,배정,완전,의사,조심,안전,진료,세상,궁금증,sbs,챙기,티셔츠,설명,로맨스
32,양말,들어가,체험,아래,마스크,입장,나오,기분,복강경,공원,장병,유리,자연,공간,다니,디스크,주차,부위,어깨,대표,실패,용종,부모,배회,파자마,센터,양쪽,축제,처음,지역,부모,일보,휠체어,그램,기존,단편,제거,조언,아복,간호사,누우,장소,대학,설명,상의,예시,바라보,유니폼,이해,휠체어,일상,출동,입원실,갈아입,입히,주말,다행,따르,수유,이번,의심,세트,시트,강제,문제,나라,바지,싸우,화재,차림,이용,환복,활동,물건,가요,원피스,연락,공주,리얼,의견,이후,통증,네티즌,만나,보호자,오른쪽,기록,기본,가운,핑크,nan,패턴,눈빛,현대,상황,근황,방문,어르신,나가,창문
33,바뀌,결국,선택,기대,상처,스트레스,진료,기다리,발목,세상,이번,생명,요양,참여,회관,찜질,국군,장기,보건,요양,정상,kg,기다리,의상,인근,문화,유니폼,알아보,모르,얼굴,의사,치료,방송,세월,인생,평상복,바늘,이후,지역,분장,마취,느낌,추위,자궁,간병,세상,유아,나오,아줌마,문의,요청,사고,그러,치료,걱정,들어가,이후,시선,자연,시스템,발목,오른쪽,얼굴,도움,보험,이후,가지,관련,교통사고,드레스,상의,무릎,원단,이불,제작,in,식사,최초,학교,행복,휠체어,호흡,한편,선물,확인,제작,만들,치료,개봉,벤치,샴푸,감기,설명,여부,평상복,칫솔,수술복,종합,바늘,머리
34,부위,한편,상처,진단,보호자,지하,교체,예정,행복,화장실,링거,행복,단추,상황,tv,위치,요양,일반,현장,tvn,항생제,거리,차림,외출,초록,의사,주민,사건,하트,의사,지나가,최근,라이프,고민,조끼,자리,비치,간호복,확인,통증,잠옷,의사,카드,시술,세계,사건,외래,백혈병,본인,대신,치료,생활,확인,시술,운전,걱정,자국,가방,소독,업체,대장,베개,센터,고민,태그,기분,한편,혈압,가요,걱정,마트,컨디션,공식,처음,얼굴,진단,가요,팬티,중요,이식,주의,응원,사건,끝나,패턴,유아,사건,체온,근무복,헤어,용품,비용,당일,문제,조리,종일,디자인,발생,조리,풍경
35,거리,감염,먹이,기다리,사이,소년,체육,팬티,유도,대기실,경기,때리,기타,원단,입력,월요일,방송,걸치,노래,미소,기분,올리,원피스,디자인,간호사,복도,자체,도움,탈의,사실,물리,처음,그때,갈아입,사회,링거,채혈,가방,차림,부탁,동물,가운,이탈,프로,참고,복장,디자인,제거,가입,시트,식사,이틀,완전,이식,유니폼,체중,갈아입,기다리,사건,생산,기분,압박,착용,평상복,과정,결혼,기준,내받,목발,패드,기다리,간호사,단추,엉덩이,naver,링거,서비스,진행,다니,근무복,식당,마취,기자,가리,진행,휠체어,학교,불편,무단,충격,상하,기분,특이,내복,어깨,정리,등장,회복,주사,바지
36,레깅스,기다리,금식,식당,보호,세상,자랑,환경,만들,간식,기술,의사,연결,수술복,프로그램,불편,입구,치료,편안,모르,머리,가요,사이,대학교,의료진,물티슈,마시,혼자,바깥,장비,휠체어,회원,신생아,이러,내복,국내,상의,주위,예정,순면,신청,어깨,각종,이번,식당,어깨,관장,처음,뉴스,검색,단체,마련,가운,라이프,치료,의자,스틸,작업,공간,옮기,링크,종합,이불,학교,일부,마시,관장,정형외과,예고,갈아입,응급실,입구,비밀,자궁,모두,공사,학생,지역,완전,차림,가정,감정,다니,지켜보,치마,유지,전체,입원실,요양원,보호자,경기,다양,느낌,물건,끌어안,치약,사이,조리,구조,분장
37,감기,갈아입,근처,활용,얼굴,호스피스,갈아입,속옷,이후,가운,만남,대형,갈아입,가운데,바보,보내,분만실,행복,세탁물,자유,다인,근처,고통,의사,to,체육,깁스,최초,금식,지원,준비물,종합,들어가,인근,산책,핑크,던지,의사,이때,효과,예방,회복,궁금증,데이트,깁스,간호조무사,갈아입,직업,지역,세트,올해,주변,원피스,회사,소변,보호자,왼쪽,지하철,간병,세상,이번,병상,며칠,엉덩이,안심,손목,지하철,검사,기억,장애,몸무게,바지,요즘,아래,기록,지나,단추,올리,착용,과정,사건,뉴스,방법,따르,세트,허리,회복,결정,종이,실감,제한,육아,동시,이름,서비스,바람,인대,도움,갈아입,시즌
